Id,SalePrice
2658,181511.23986321446
2718,181511.23986321446
2414,181511.23986321446
1989,181511.23986321446
625,181511.23986321446
333,181511.23986321446
1327,181511.23986321446
858,181511.23986321446
95,181511.23986321446
1568,181511.23986321446
2482,181511.23986321446
1364,181511.23986321446
2584,181511.23986321446
818,181511.23986321446
2673,181511.23986321446
2089,181511.23986321446
1297,181511.23986321446
790,181511.23986321446
2616,181511.23986321446
720,181511.23986321446
222,181511.23986321446
557,181511.23986321446
1148,181511.23986321446
2766,181511.23986321446
534,181511.23986321446
1452,181511.23986321446
630,181511.23986321446
2648,181511.23986321446
125,181511.23986321446
1904,181511.23986321446
1670,181511.23986321446
756,181511.23986321446
717,181511.23986321446
1032,181511.23986321446
852,181511.23986321446
1731,181511.23986321446
2639,181511.23986321446
2071,181511.23986321446
1267,181511.23986321446
1851,181511.23986321446
567,181511.23986321446
2439,181511.23986321446
1898,181511.23986321446
647,181511.23986321446
2256,181511.23986321446
979,181511.23986321446
1444,181511.23986321446
2485,181511.23986321446
157,181511.23986321446
88,181511.23986321446
2003,181511.23986321446
186,181511.23986321446
1425,181511.23986321446
2695,181511.23986321446
738,181511.23986321446
395,181511.23986321446
1353,181511.23986321446
1878,181511.23986321446
390,181511.23986321446
1456,181511.23986321446
1103,181511.23986321446
1387,181511.23986321446
2070,181511.23986321446
1199,181511.23986321446
2479,181511.23986321446
501,181511.23986321446
2362,181511.23986321446
1718,181511.23986321446
2188,181511.23986321446
1483,181511.23986321446
2557,181511.23986321446
437,181511.23986321446
2224,181511.23986321446
1628,181511.23986321446
397,181511.23986321446
587,181511.23986321446
2182,181511.23986321446
971,181511.23986321446
2611,181511.23986321446
1887,181511.23986321446
2399,181511.23986321446
2148,181511.23986321446
304,181511.23986321446
1997,181511.23986321446
2817,181511.23986321446
1431,181511.23986321446
427,181511.23986321446
263,181511.23986321446
598,181511.23986321446
2895,181511.23986321446
687,181511.23986321446
1822,181511.23986321446
2191,181511.23986321446
179,181511.23986321446
1009,181511.23986321446
2010,181511.23986321446
1991,181511.23986321446
1411,181511.23986321446
1721,181511.23986321446
1144,181511.23986321446
593,181511.23986321446
575,181511.23986321446
1249,181511.23986321446
1604,181511.23986321446
1064,181511.23986321446
1923,181511.23986321446
1988,181511.23986321446
2325,181511.23986321446
114,181511.23986321446
2700,181511.23986321446
217,181511.23986321446
343,181511.23986321446
386,181511.23986321446
2005,181511.23986321446
2908,181511.23986321446
1814,181511.23986321446
2446,181511.23986321446
208,181511.23986321446
1679,181511.23986321446
822,181511.23986321446
6,181511.23986321446
1781,181511.23986321446
2397,181511.23986321446
2340,181511.23986321446
1618,181511.23986321446
2843,181511.23986321446
1061,181511.23986321446
2786,181511.23986321446
1935,181511.23986321446
1341,181511.23986321446
521,181511.23986321446
2136,181511.23986321446
996,181511.23986321446
227,181511.23986321446
135,181511.23986321446
1167,181511.23986321446
294,181511.23986321446
1776,181511.23986321446
540,181511.23986321446
1717,181511.23986321446
2303,181511.23986321446
116,181511.23986321446
127,181511.23986321446
1371,181511.23986321446
1014,181511.23986321446
1507,181511.23986321446
702,181511.23986321446
750,181511.23986321446
261,181511.23986321446
1559,181511.23986321446
577,181511.23986321446
2812,181511.23986321446
2080,181511.23986321446
1368,181511.23986321446
2376,181511.23986321446
659,181511.23986321446
1235,181511.23986321446
332,181511.23986321446
1917,181511.23986321446
2094,181511.23986321446
1460,181511.23986321446
1471,181511.23986321446
1509,181511.23986321446
1922,181511.23986321446
433,181511.23986321446
460,181511.23986321446
1116,181511.23986321446
1137,181511.23986321446
53,181511.23986321446
2354,181511.23986321446
1475,181511.23986321446
1761,181511.23986321446
842,181511.23986321446
2739,181511.23986321446
2509,181511.23986321446
1007,181511.23986321446
2610,181511.23986321446
1952,181511.23986321446
2719,181511.23986321446
2921,181511.23986321446
1966,181511.23986321446
292,181511.23986321446
1204,181511.23986321446
1829,181511.23986321446
2419,181511.23986321446
391,181511.23986321446
798,181511.23986321446
481,181511.23986321446
193,181511.23986321446
555,181511.23986321446
899,181511.23986321446
2357,181511.23986321446
328,181511.23986321446
1356,181511.23986321446
1154,181511.23986321446
1730,181511.23986321446
2249,181511.23986321446
1119,181511.23986321446
2856,181511.23986321446
1394,181511.23986321446
2587,181511.23986321446
61,181511.23986321446
2661,181511.23986321446
2711,181511.23986321446
1147,181511.23986321446
757,181511.23986321446
2623,181511.23986321446
2378,181511.23986321446
1413,181511.23986321446
1722,181511.23986321446
1112,181511.23986321446
1623,181511.23986321446
1201,181511.23986321446
1513,181511.23986321446
957,181511.23986321446
1171,181511.23986321446
1145,181511.23986321446
2726,181511.23986321446
703,181511.23986321446
760,181511.23986321446
1964,181511.23986321446
2512,181511.23986321446
159,181511.23986321446
1281,181511.23986321446
468,181511.23986321446
290,181511.23986321446
665,181511.23986321446
1463,181511.23986321446
1792,181511.23986321446
923,181511.23986321446
500,181511.23986321446
1408,181511.23986321446
331,181511.23986321446
170,181511.23986321446
2192,181511.23986321446
2571,181511.23986321446
2314,181511.23986321446
2647,181511.23986321446
422,181511.23986321446
2457,181511.23986321446
1838,181511.23986321446
2805,181511.23986321446
1645,181511.23986321446
1711,181511.23986321446
2825,181511.23986321446
322,181511.23986321446
2103,181511.23986321446
342,181511.23986321446
600,181511.23986321446
488,181511.23986321446
1725,181511.23986321446
2246,181511.23986321446
2847,181511.23986321446
806,181511.23986321446
530,181511.23986321446
963,181511.23986321446
2678,181511.23986321446
171,181511.23986321446
2401,181511.23986321446
805,181511.23986321446
